,algorithm,dimension,iterations,time
193,jacobi,4,15,0.0008200000000044838
194,jacobi,4,16,0.0008720000000010941
195,jacobi,4,17,0.000914999999999111
196,jacobi,4,18,0.0009559999999950719
197,jacobi,4,18,0.000973000000001889
198,jacobi,4,15,0.0008060000000043033
199,jacobi,4,17,0.0009170000000011669
200,jacobi,5,29,0.0018569999999940023
201,jacobi,5,31,0.0015559999999936736
202,jacobi,5,28,0.0013950000000022555
203,jacobi,5,27,0.0013549999999966644
204,jacobi,5,28,0.001386000000003662
205,jacobi,5,29,0.0014350000000007412
206,jacobi,5,26,0.0013470000000026516
207,jacobi,5,28,0.0015229999999988308
208,jacobi,5,31,0.0015300000000024738
209,jacobi,5,31,0.001535000000004061
210,jacobi,5,28,0.0014869999999973516
211,jacobi,5,30,0.0015000000000000568
212,jacobi,5,29,0.0014260000000021478
213,jacobi,5,27,0.0013590000000007763
214,jacobi,5,25,0.0013249999999942474
215,jacobi,5,28,0.00143200000000121
216,jacobi,5,29,0.0014490000000009218
217,jacobi,5,25,0.002093999999999596
218,jacobi,5,27,0.0013599999999982515
219,jacobi,5,30,0.0014629999999939969
220,jacobi,5,29,0.0015559999999936736
221,jacobi,5,30,0.0015629999999973165
222,jacobi,5,31,0.0015110000000007062
223,jacobi,5,27,0.001345999999998071
224,jacobi,5,27,0.0013390000000015334
225,jacobi,5,26,0.0012940000000014606
226,jacobi,5,30,0.0014619999999965216
227,jacobi,5,28,0.0013799999999974943
228,jacobi,5,33,0.0015819999999990841
229,jacobi,5,28,0.0013799999999974943
230,jacobi,5,26,0.0014170000000035543
231,jacobi,5,29,0.00144499999999681
232,jacobi,5,29,0.0014369999999956917
233,jacobi,5,31,0.0015569999999982542
234,jacobi,5,29,0.0014170000000035543
235,jacobi,5,29,0.0014319999999941047
236,jacobi,5,31,0.0014989999999954762
237,jacobi,5,32,0.001553999999998723
238,jacobi,5,28,0.0013749999999959073
239,jacobi,5,30,0.0014759999999967022
240,jacobi,5,27,0.001452000000000453
241,jacobi,5,29,0.0014370000000027972
242,jacobi,5,29,0.0014210000000005607
243,jacobi,5,27,0.0013360000000020023
244,jacobi,5,31,0.0014970000000005257
245,jacobi,5,30,0.0014690000000001646
246,jacobi,5,26,0.0012940000000014606
247,jacobi,5,33,0.005303000000004943
248,jacobi,5,30,0.0023309999999980846
249,jacobi,5,29,0.0014510000000029777
250,jacobi,5,31,0.0016290000000012128
251,jacobi,5,28,0.0014129999999994425
252,jacobi,5,29,0.003023999999996363
253,jacobi,5,31,0.0017520000000033065
254,jacobi,5,31,0.007092000000000098
255,jacobi,5,28,0.0017290000000045325
256,jacobi,5,30,0.0019919999999942206
257,jacobi,5,28,0.0014260000000021478
258,jacobi,5,28,0.001386000000003662
259,jacobi,5,30,0.0014859999999998763
260,jacobi,5,29,0.0025600000000025602
261,jacobi,5,31,0.0015389999999939619
262,jacobi,5,28,0.0014070000000003802
263,jacobi,5,30,0.001533000000002005
264,jacobi,5,27,0.0013749999999959073
265,jacobi,5,28,0.004913999999999419
266,jacobi,5,27,0.0013440000000031205
267,jacobi,5,32,0.0021739999999965676
268,jacobi,5,29,0.001426999999999623
269,jacobi,5,31,0.0015089999999986503
270,jacobi,5,30,0.0017279999999999518
271,jacobi,5,31,0.001569999999993854
272,jacobi,5,31,0.0015349999999969555
273,jacobi,5,27,0.0013469999999955462
274,jacobi,5,30,0.0014809999999982892
275,jacobi,5,28,0.0013870000000011373
276,jacobi,5,28,0.0013920000000027244
277,jacobi,5,30,0.0016339999999956945
278,jacobi,5,30,0.0014769999999941774
279,jacobi,5,26,0.0013080000000016412
280,jacobi,5,31,0.001812000000001035
281,jacobi,5,30,0.0014919999999989386
282,jacobi,5,30,0.0014690000000001646
283,jacobi,5,29,0.001429000000001679
284,jacobi,5,25,0.0012570000000025061
285,jacobi,5,29,0.0014210000000005607
286,jacobi,5,30,0.0014540000000025088
287,jacobi,5,28,0.0014430000000018595
